run_id,tool,dbms,repeat_id,elapsed_min,risk_branches_hit,target_region_branch_coverage,risk_targets_hit,target_function_hit_rate,global_branches_hit,global_branch_coverage,risk_branches_total,global_branches_total,risk_targets_total
mysql_sqleek_wo_m1_r3,SQLeek-W/O-M1,MySQL,3,60,1719.611661585365709,0.37366615853658536,729,0.5330739299610895,87561.456528563430766,0.26781790315333337,4602,326944,
mysql_sqleek_wo_m1_r3,SQLeek-W/O-M1,MySQL,3,180,1860.793445121951208,0.40434451219512196,780,0.5499351491569391,95988.470679477788508,0.2935930027144642,4602,326944,
mysql_sqleek_wo_m1_r3,SQLeek-W/O-M1,MySQL,3,300,1918.669207317073187,0.4169207317073171,814,0.5732814526588845,98353.065694958233507,0.3008254187107218,4602,326944,
mysql_sqleek_wo_m1_r3,SQLeek-W/O-M1,MySQL,3,480,1994.083079268292522,0.4333079268292683,834,0.582360570687419,101948.256329133393592,0.3118217686488616,4602,326944,
mysql_sqleek_wo_m1_r3,SQLeek-W/O-M1,MySQL,3,600,2030.036204268292522,0.4411204268292683,838,0.5862516212710766,102733.100632143949042,0.3142223152348535,4602,326944,
mysql_sqleek_wo_m1_r3,SQLeek-W/O-M1,MySQL,3,720,2059.850990853658459,0.44759908536585363,848,0.5862516212710766,103384.118919384723995,0.3162135378516955,4602,326944,
mysql_sqleek_wo_m1_r3,SQLeek-W/O-M1,MySQL,3,900,2079.142911585365709,0.45179115853658536,857,0.5914396887159533,104898.465939937101211,0.32084536171312855,4602,326944,
mysql_sqleek_wo_m1_r3,SQLeek-W/O-M1,MySQL,3,1200,2136.141768292683082,0.4641768292682927,874,0.603112840466926,106418.850224358786363,0.3254956513175308,4602,326944,
mysql_sqleek_wo_m1_r3,SQLeek-W/O-M1,MySQL,3,1440,2151.926067073170543,0.46760670731707316,878,0.6044098573281452,107359.657177326531382,0.32837322959689286,4602,326944,
mysql_sqleek_wo_m1_r4,SQLeek-W/O-M1,MySQL,4,60,1692.427591463414501,0.3677591463414634,729,0.5291828793774319,90994.647248912064242,0.2783187556551338,4602,326944,
mysql_sqleek_wo_m1_r4,SQLeek-W/O-M1,MySQL,4,180,1905.515625,0.4140625,805,0.5849546044098574,98585.500353926734533,0.3015363498150348,4602,326944,
mysql_sqleek_wo_m1_r4,SQLeek-W/O-M1,MySQL,4,300,1981.806402439024396,0.43064024390243905,834,0.6005188067444877,101930.144537525455235,0.31176637141995406,4602,326944,
mysql_sqleek_wo_m1_r4,SQLeek-W/O-M1,MySQL,4,480,2073.881478658536253,0.4506478658536585,864,0.6238651102464332,104066.329736616957234,0.3183001668072115,4602,326944,
mysql_sqleek_wo_m1_r4,SQLeek-W/O-M1,MySQL,4,600,2133.511051829268581,0.4636051829268293,878,0.62905317769131,106381.620430498020141,0.32538177923588757,4602,326944,
mysql_sqleek_wo_m1_r4,SQLeek-W/O-M1,MySQL,4,720,2179.987042682926585,0.4737042682926829,891,0.6381322957198443,107408.961498925913475,0.32852403316447437,4602,326944,
